"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/rose/Desktop/immersive/ReacType/__tests__/BottomTabs.test.tsx", "TypeScript JSX", 0, 0, 207, 0, 0, 0, 3, 24, 234
"/Users/rose/Desktop/immersive/ReacType/__tests__/DragAndDrop.test.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 9, 78
"/Users/rose/Desktop/immersive/ReacType/__tests__/NavBar.test.tsx", "TypeScript JSX", 0, 0, 222, 0, 0, 0, 18, 55, 295
"/Users/rose/Desktop/immersive/ReacType/__tests__/componentReducer.test.ts", "TypeScript", 0, 243, 0, 0, 0, 0, 36, 20, 299
"/Users/rose/Desktop/immersive/ReacType/__tests__/contextReducer.test.js", "JavaScript", 140, 0, 0, 0, 0, 0, 25, 31, 196
"/Users/rose/Desktop/immersive/ReacType/__tests__/gql.projects.test.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 16, 6, 144
"/Users/rose/Desktop/immersive/ReacType/__tests__/helper.test.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/rose/Desktop/immersive/ReacType/__tests__/marketplace.test.tsx", "TypeScript JSX", 0, 0, 111, 0, 0, 0, 3, 20, 134
"/Users/rose/Desktop/immersive/ReacType/__tests__/playwright/example.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 6, 19
"/Users/rose/Desktop/immersive/ReacType/__tests__/projects.test.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 9, 3, 72
"/Users/rose/Desktop/immersive/ReacType/__tests__/server.test.tsx", "TypeScript JSX", 0, 0, 320, 0, 0, 0, 58, 57, 435
"/Users/rose/Desktop/immersive/ReacType/__tests__/signIn.test.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 0, 3, 52
"/Users/rose/Desktop/immersive/ReacType/__tests__/spec.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 26, 6, 33
"/Users/rose/Desktop/immersive/ReacType/__tests__/stateManagementReducer.test.js", "JavaScript", 267, 0, 0, 0, 0, 0, 20, 23, 310
"/Users/rose/Desktop/immersive/ReacType/__tests__/tree.test.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 3, 3, 114
"/Users/rose/Desktop/immersive/ReacType/__tests__/userAuth.test.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 160, 24, 263
"/Users/rose/Desktop/immersive/ReacType/server/README.md", "Markdown", 0, 0, 0, 0, 0, -16, 0, -7, -23
"/Users/rose/Desktop/immersive/ReacType/server/assets/renderDemo.css", "CSS", 0, 0, 0, -169, 0, 0, 0, -10, -179
"/Users/rose/Desktop/immersive/ReacType/server/controllers/cookieController.ts", "TypeScript", 0, -23, 0, 0, 0, 0, -3, -10, -36
"/Users/rose/Desktop/immersive/ReacType/server/controllers/marketplaceController.ts", "TypeScript", 0, -113, 0, 0, 0, 0, -29, -11, -153
"/Users/rose/Desktop/immersive/ReacType/server/controllers/projectController.ts", "TypeScript", 0, -68, 0, 0, 0, 0, -28, -7, -103
"/Users/rose/Desktop/immersive/ReacType/server/controllers/sessionController.ts", "TypeScript", 0, -82, 0, 0, 0, 0, -115, -8, -205
"/Users/rose/Desktop/immersive/ReacType/server/controllers/userController.ts", "TypeScript", 0, -127, 0, 0, 0, 0, -13, -9, -149
"/Users/rose/Desktop/immersive/ReacType/server/controllers/userStylesController.ts", "TypeScript", 0, -18, 0, 0, 0, 0, -1, -3, -22
"/Users/rose/Desktop/immersive/ReacType/server/graphQL/resolvers/mutation.ts", "TypeScript", 0, -143, 0, 0, 0, 0, -13, -22, -178
"/Users/rose/Desktop/immersive/ReacType/server/graphQL/resolvers/query.ts", "TypeScript", 0, -57, 0, 0, 0, 0, -10, -8, -75
"/Users/rose/Desktop/immersive/ReacType/server/graphQL/schema/typeDefs.ts", "TypeScript", 0, -31, 0, 0, 0, 0, -8, -8, -47
"/Users/rose/Desktop/immersive/ReacType/server/interfaces.ts", "TypeScript", 0, -47, 0, 0, 0, 0, -3, -10, -60
"/Users/rose/Desktop/immersive/ReacType/server/models/Oauth-model.ts", "TypeScript", 0, -13, 0, 0, 0, 0, 0, -6, -19
"/Users/rose/Desktop/immersive/ReacType/server/models/reactypeModels.ts", "TypeScript", 0, -76, 0, 0, 0, 0, -19, -11, -106
"/Users/rose/Desktop/immersive/ReacType/server/routers/auth.ts", "TypeScript", 0, -66, 0, 0, 0, 0, -1, -13, -80
"/Users/rose/Desktop/immersive/ReacType/server/routers/passport-setup.ts", "TypeScript", 0, -90, 0, 0, 0, 0, 0, -7, -97
"/Users/rose/Desktop/immersive/ReacType/server/routers/stylesRouter.ts", "TypeScript", 0, -7, 0, 0, 0, 0, -1, -2, -10
"/Users/rose/Desktop/immersive/ReacType/server/server.ts", "TypeScript", 0, -201, 0, 0, 0, 0, -93, -56, -350
"/Users/rose/Desktop/immersive/ReacType/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, -15, 0, -4, -2, -21
"Total", "-", 407, -657, 1092, -169, -15, -16, 49, 82, 773
