"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/Users/rose/Desktop/immersive/ReacType/__tests__/BottomTabs.test.tsx", "TypeScript JSX", 0, 0, 207, 3, 24, 234
"/Users/rose/Desktop/immersive/ReacType/__tests__/DragAndDrop.test.tsx", "TypeScript JSX", 0, 0, 69, 0, 9, 78
"/Users/rose/Desktop/immersive/ReacType/__tests__/NavBar.test.tsx", "TypeScript JSX", 0, 0, 222, 18, 55, 295
"/Users/rose/Desktop/immersive/ReacType/__tests__/componentReducer.test.ts", "TypeScript", 0, 243, 0, 36, 20, 299
"/Users/rose/Desktop/immersive/ReacType/__tests__/contextReducer.test.js", "JavaScript", 140, 0, 0, 25, 31, 196
"/Users/rose/Desktop/immersive/ReacType/__tests__/gql.projects.test.ts", "TypeScript", 0, 122, 0, 16, 6, 144
"/Users/rose/Desktop/immersive/ReacType/__tests__/helper.test.tsx", "TypeScript JSX", 0, 0, 6, 0, 2, 8
"/Users/rose/Desktop/immersive/ReacType/__tests__/marketplace.test.tsx", "TypeScript JSX", 0, 0, 111, 3, 20, 134
"/Users/rose/Desktop/immersive/ReacType/__tests__/playwright/example.spec.ts", "TypeScript", 0, 0, 0, 13, 6, 19
"/Users/rose/Desktop/immersive/ReacType/__tests__/projects.test.ts", "TypeScript", 0, 60, 0, 9, 3, 72
"/Users/rose/Desktop/immersive/ReacType/__tests__/server.test.tsx", "TypeScript JSX", 0, 0, 320, 58, 57, 435
"/Users/rose/Desktop/immersive/ReacType/__tests__/signIn.test.tsx", "TypeScript JSX", 0, 0, 49, 0, 3, 52
"/Users/rose/Desktop/immersive/ReacType/__tests__/spec.ts", "TypeScript", 0, 1, 0, 26, 6, 33
"/Users/rose/Desktop/immersive/ReacType/__tests__/stateManagementReducer.test.js", "JavaScript", 267, 0, 0, 20, 23, 310
"/Users/rose/Desktop/immersive/ReacType/__tests__/tree.test.tsx", "TypeScript JSX", 0, 0, 108, 3, 3, 114
"/Users/rose/Desktop/immersive/ReacType/__tests__/userAuth.test.ts", "TypeScript", 0, 79, 0, 160, 24, 263
"Total", "-", 407, 505, 1092, 390, 292, 2686
