Date : 2023-12-11 11:31:34
Directory : /Users/rose/Desktop/immersive/ReacType/app
Total : 167 files,  15045 codes, 1183 comments, 1095 blanks, all 17323 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        105 |     10,306 |        688 |        707 |     11,701 |
| TypeScript     |         48 |      3,866 |         49 |        223 |      4,138 |
| CSS            |          2 |        741 |         59 |        159 |        959 |
| JavaScript     |         10 |         94 |        387 |          4 |        485 |
| HTML           |          2 |         38 |          0 |          2 |         40 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        167 |     15,045 |      1,183 |      1,095 |     17,323 |
| ..                                                                                                                      |         16 |     -2,004 |       -390 |       -292 |     -2,686 |
| ../__tests__                                                                                                            |         16 |     -2,004 |       -390 |       -292 |     -2,686 |
| ../__tests__ (Files)                                                                                                    |         15 |     -2,004 |       -377 |       -286 |     -2,667 |
| ../__tests__/playwright                                                                                                 |          1 |          0 |        -13 |         -6 |        -19 |
| .electron                                                                                                               |          8 |        501 |        432 |         58 |        991 |
| .electron (Files)                                                                                                       |          5 |        454 |        425 |         43 |        922 |
| .electron/preloadFunctions                                                                                              |          3 |         47 |          7 |         15 |         69 |
| src                                                                                                                     |        143 |     16,548 |      1,141 |      1,329 |     19,018 |
| src (Files)                                                                                                             |          1 |         82 |          5 |         13 |        100 |
| src/Dashboard                                                                                                           |          5 |        657 |         49 |         44 |        750 |
| src/components                                                                                                          |         72 |      8,232 |        640 |        719 |      9,591 |
| src/components (Files)                                                                                                  |          1 |         33 |         67 |         14 |        114 |
| src/components/ContextAPIManager                                                                                        |         11 |        897 |         34 |         85 |      1,016 |
| src/components/ContextAPIManager (Files)                                                                                |          1 |         60 |          0 |          8 |         68 |
| src/components/ContextAPIManager/AssignTab                                                                              |          5 |        405 |         17 |         39 |        461 |
| src/components/ContextAPIManager/AssignTab (Files)                                                                      |          1 |        114 |          5 |          9 |        128 |
| src/components/ContextAPIManager/AssignTab/components                                                                   |          4 |        291 |         12 |         30 |        333 |
| src/components/ContextAPIManager/CreateTab                                                                              |          4 |        387 |         15 |         32 |        434 |
| src/components/ContextAPIManager/CreateTab (Files)                                                                      |          1 |        126 |          4 |         11 |        141 |
| src/components/ContextAPIManager/CreateTab/components                                                                   |          3 |        261 |         11 |         21 |        293 |
| src/components/ContextAPIManager/DisplayTab                                                                             |          1 |         45 |          2 |          6 |         53 |
| src/components/StateManagement                                                                                          |         10 |      1,388 |         73 |        105 |      1,566 |
| src/components/StateManagement (Files)                                                                                  |          1 |         59 |          2 |          9 |         70 |
| src/components/StateManagement/CreateTab                                                                                |          5 |        996 |         28 |         57 |      1,081 |
| src/components/StateManagement/CreateTab (Files)                                                                        |          1 |         11 |          0 |          4 |         15 |
| src/components/StateManagement/CreateTab/components                                                                     |          4 |        985 |         28 |         53 |      1,066 |
| src/components/StateManagement/DisplayTab                                                                               |          4 |        333 |         43 |         39 |        415 |
| src/components/bottom                                                                                                   |          6 |        495 |         23 |         52 |        570 |
| src/components/form                                                                                                     |          1 |         53 |          0 |          4 |         57 |
| src/components/left                                                                                                     |          9 |      1,121 |         71 |         90 |      1,282 |
| src/components/login                                                                                                    |          3 |        832 |         40 |         51 |        923 |
| src/components/main                                                                                                     |         13 |      1,138 |         94 |        123 |      1,355 |
| src/components/marketplace                                                                                              |          3 |        274 |         18 |         34 |        326 |
| src/components/right                                                                                                    |         11 |      1,362 |        206 |        112 |      1,680 |
| src/components/top                                                                                                      |          4 |        639 |         14 |         49 |        702 |
