"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "YAML", "TypeScript JSX", "CSS", "Docker", "comment", "blank", "total"
"/Users/rose/Desktop/immersive/ReacType/.eslintrc.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/rose/Desktop/immersive/ReacType/.github/workflows/main.yml", "YAML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 11, 8, 41
"/Users/rose/Desktop/immersive/ReacType/.prettierrc", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/rose/Desktop/immersive/ReacType/CHANGE_LOG.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 45, 297
"/Users/rose/Desktop/immersive/ReacType/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 36, 126
"/Users/rose/Desktop/immersive/ReacType/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 14, 37
"/Users/rose/Desktop/immersive/ReacType/Dockerrun.aws.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/rose/Desktop/immersive/ReacType/LICENSE.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/rose/Desktop/immersive/ReacType/README.md", "Markdown", 0, 0, 101, 0, 0, 0, 0, 0, 0, 16, 52, 169
"/Users/rose/Desktop/immersive/ReacType/__tests__/BottomTabs.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 0, 3, 24, 234
"/Users/rose/Desktop/immersive/ReacType/__tests__/DragAndDrop.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 9, 78
"/Users/rose/Desktop/immersive/ReacType/__tests__/NavBar.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 222, 0, 0, 18, 55, 295
"/Users/rose/Desktop/immersive/ReacType/__tests__/componentReducer.test.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 0, 36, 20, 299
"/Users/rose/Desktop/immersive/ReacType/__tests__/contextReducer.test.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 0, 0, 25, 31, 196
"/Users/rose/Desktop/immersive/ReacType/__tests__/gql.projects.test.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 144
"/Users/rose/Desktop/immersive/ReacType/__tests__/helper.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/rose/Desktop/immersive/ReacType/__tests__/marketplace.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 3, 20, 134
"/Users/rose/Desktop/immersive/ReacType/__tests__/playwright/example.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 19
"/Users/rose/Desktop/immersive/ReacType/__tests__/projects.test.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 72
"/Users/rose/Desktop/immersive/ReacType/__tests__/server.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 320, 0, 0, 58, 57, 435
"/Users/rose/Desktop/immersive/ReacType/__tests__/signIn.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 52
"/Users/rose/Desktop/immersive/ReacType/__tests__/spec.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 26, 6, 33
"/Users/rose/Desktop/immersive/ReacType/__tests__/stateManagementReducer.test.js", "JavaScript", 0, 267, 0, 0, 0, 0, 0, 0, 0, 20, 23, 310
"/Users/rose/Desktop/immersive/ReacType/__tests__/tree.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 3, 3, 114
"/Users/rose/Desktop/immersive/ReacType/__tests__/userAuth.test.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 160, 24, 263
"/Users/rose/Desktop/immersive/ReacType/amplify/.config/project-config.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/rose/Desktop/immersive/ReacType/amplify/README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/rose/Desktop/immersive/ReacType/amplify/backend/auth/reactype24e8d371/cli-inputs.json", "JSON", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 59
"/Users/rose/Desktop/immersive/ReacType/amplify/backend/backend-config.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
